path	classification	delivery_boundary	proposed_template_id	evidence_reason
.editorconfig	protocol-tokens-schema			Build/source/configuration content contains no confirmed repository-authored prose at an in-scope delivery boundary; literals are identifiers, wire/schema tokens, data, or unreachable diagnostics.
.gitignore	protocol-tokens-schema			Build/source/configuration content contains no confirmed repository-authored prose at an in-scope delivery boundary; literals are identifiers, wire/schema tokens, data, or unreachable diagnostics.
AGENTS.md	confirmed	system instructions via AgentsPrompt.FindFiles -> CompositeSystemPrompt.Build -> AgentSession.Call LLMRequest.Instructions	agents.repository-guidance	Repository-authored prose is materialized at the stated model delivery boundary.
CLAUDE.md	external-data			Documentation is only model-visible if a user/tool explicitly reads it; it is not repository-authored delivery prose.
Directory.Build.props	protocol-tokens-schema			Build/source/configuration content contains no confirmed repository-authored prose at an in-scope delivery boundary; literals are identifiers, wire/schema tokens, data, or unreachable diagnostics.
Directory.Build.targets	protocol-tokens-schema			Build/source/configuration content contains no confirmed repository-authored prose at an in-scope delivery boundary; literals are identifiers, wire/schema tokens, data, or unreachable diagnostics.
Directory.Packages.props	protocol-tokens-schema			Build/source/configuration content contains no confirmed repository-authored prose at an in-scope delivery boundary; literals are identifiers, wire/schema tokens, data, or unreachable diagnostics.
Parrot.slnx	protocol-tokens-schema			Build/source/configuration content contains no confirmed repository-authored prose at an in-scope delivery boundary; literals are identifiers, wire/schema tokens, data, or unreachable diagnostics.
README.md	external-data			Documentation is only model-visible if a user/tool explicitly reads it; it is not repository-authored delivery prose.
docs/components.md	external-data			Documentation is only model-visible if a user/tool explicitly reads it; it is not repository-authored delivery prose.
flake.lock	protocol-tokens-schema			Build/source/configuration content contains no confirmed repository-authored prose at an in-scope delivery boundary; literals are identifiers, wire/schema tokens, data, or unreachable diagnostics.
flake.nix	protocol-tokens-schema			Build/source/configuration content contains no confirmed repository-authored prose at an in-scope delivery boundary; literals are identifiers, wire/schema tokens, data, or unreachable diagnostics.
global.json	protocol-tokens-schema			Build/source/configuration content contains no confirmed repository-authored prose at an in-scope delivery boundary; literals are identifiers, wire/schema tokens, data, or unreachable diagnostics.
